rank,candidate_id,original_grade,original_n_pass,original_inspector_conf,blind_theta_E_arcsec,discovery_status,our_S,our_S_arb,our_letter,our_letter_llm,our_p_evidence,our_scale_class,our_alternative_final,our_needs_human,agree_letter,our_letter_rank,our_letter_final,our_veto,our_rule,agree_final,our_rationale
1,J3440482-522486,A,3,95.0,1.15,known,0.95,0.95,A,,0.95,galaxy,,False,True,A,A,,R2,True,"The eastern feature is a thin (~0.2"") blue arc holding radius ~1.5"" from PA 40 to 140 with its centre of curvature within ~0.15"" of the ticked nucleus, and a blue compact knot sits at r~1.0"", PA 270, directly opposite its midpoint - a classic two-image/partial-ring configuration seen in the direct panels (a,b,c,d,e), not only in the subtracted residual."
5,J34084513-960342,B,2,75.0,1.35,new,0.6111111111111112,0.6111111111111112,A,B,0.88,galaxy,other,True,False,A,A,,R2,False,"Items 1 and 2 survive: in panels (a), (b), (d), (e) and again as an offset ridge in the subtracted panel (f) there is a thin (~0.15-0.2"" FWHM) ridge sweeping from due east through south to the southwest of the ticked nucleus at r~1.1-1.5"" over ~110-130 deg of azimuth, concave toward the deflector, detached from the bulge across a low-surface-brightness gap, with a thickened tan-coloured knot south-southeast in (e) against the white-cored deflector; width/radius ~0.12-0.15 is far thinner than any host resonance ring or shell, the radius does not grow with angle so it is not a spiral arm, no diffraction spikes or striping exist in the field, and the big SW spiral at r~4-4.7"" lies on the convex side so the ridge does not curve about it. Both critics independently and correctly removed item 3: the NNW patch is where the host's own isophotes already run, it is smooth, coreless and shares the halo hue, and the large NW blob in (f) is the circular-model core mis-subtraction at only ~0.6"". What is left is a compelling one-sided tangential arc with no counter-image, and geometry's circle fit through the arc in (d) puts its curvature centre ~1"" NW of the ticked nucleus with R~2.2"" rather than concentric with it - consistent either with a lens whose mass centroid is offset/elliptical or with an interaction feature involving the nearby SW spiral. That residual tension, not a hedge, is why a human or a lens model with the counter-image prediction tested would settle it; on the evidence in front of me this is a probable lens."
11,J8999381-2012203,C,1,72.0,2.0,new,0.16042962962962962,0.6533333333333333,C,B,0.8,galaxy,other,True,True,A,A,,R2,False,"The dominant feature is the bright, thin streak lying ~2.3-2.8"" west-northwest of the ticked elliptical: in the normal 10"" panel it is a sharp crescent whose concave edge faces the core, in the deep panel it keeps its narrow, roughly constant width against a radius many times larger, and in the two-band colour panel it is distinctly orange against the whiter deflector light - a plausible dusty background source. It is present in every un-subtracted panel, so it is not a subtraction product, and its only appearance in the zooms is where its outer tip clips the top-right corner of (d), (e), (f); the four-lobed bowtie dominating (f) is the expected circular-model artefact and was correctly ignored. Two critics argued for an edge-on disc, but the pixels do not show a straight ridge with a central bulge and pointed tips; the streak bends, and its centre of curvature lies close to the deflector nucleus, which is the signature of a tangential arc. What keeps this from an A is the missing counter-image: the E/SE side at comparable radius shows only isotropic mottling (item 3, correctly killed by the artifact critic), and the saturated halo plus the circular-model residual make a clean search there impossible in this rendering. A reviewer with a proper elliptical-model subtraction, or deeper multiband data to test the streak for an internal disc profile versus a lensed source spectrum, would settle whether this is a fold arc or a fortuitously placed inclined disc, so B (probable) with human follow-up."
2,J15199556+2122210,A,3,82.0,1.48,new,0.5459999999999999,0.78,A,B,0.78,galaxy,,False,True,A,A,,R2,True,"Both items survive: in panels (a), (b), (c), (d) and (e) a thin crescent runs from about PA 100 to PA 170 at r = 1.30-1.50"" southeast of the ticked nucleus, concave toward that nucleus, with its long axis at the local tangent to within ~10 deg, and it reappears in (f) as an offset tangential feature far outside the r<0.8"" dipole/bowtie wedges that the 1-D circular model necessarily produces on this obviously elliptical galaxy - so it is not a subtraction artefact, and its smooth curvature at fixed radius excludes spikes, striping, seams or PSF wings (artifact and geometry critics both declined to offer an alternative). The morphology critic's shell/stream reading is overruled on the pixels: the feature is ~1/8 of its radius in width, colour-distinct from the orange envelope, shows no stellar bridge to the nucleus and no monotonic radius growth, and carries a brightness maximum along its southern half consistent with a fold, whereas a shell would be broad, host-coloured and profile-matched. The one shortfall is the counter-image: the NW quadrant at r = 1.2-1.9"", PA 280-350 is swamped by the bright envelope in every direct panel and by the circular-model artefact in (f), so it is uninformative rather than negative, which holds this at probable (B) rather than A."
3,J34707505-219476,A,3,78.0,1.4,new,0.4475555555555556,0.6713333333333333,A,B,0.76,galaxy,companion_projection,True,True,A,A,,R2,True,"What survives is the feature that matters: in the 3.5"" deep zoom (d) and again, sharply, in the subtracted panel (f), a chain of three-to-four compact knots runs from about (r=1.45"", PA 93) to (r=1.27"", PA 141) on the east/south-east side of the ticked galaxy, concave toward it, with a fainter low-surface-brightness continuation curving on under the core toward the south at essentially the same radius - roughly 100° of tangential extent about a centre of curvature within ~0.3"" of the nucleus. It is present in the un-subtracted panels (a), (b), (d) and (e), so it is not a subtraction residual, and it lies far outside the r<0.6"" butterfly/ring pattern the circular profile leaves in (f); the artifact critic found no spike, snowball, striping or PSF wing touching it, and the geometry critic could not break its tangentiality. The morphology critic's tidal-envelope reading is overruled because the diffuse light it invokes belongs to the big extended galaxy occupying the SE corner of the 10"" panels at r>4"" and never turns tangential under the deflector core the way the (f) feature does. What is genuinely lost is the counter-image: the NW point at r≈1.9"", PA≈301 is antipodal in angle but 40% too far out and morphologically round, so it is as easily a projected companion in this crowded group as a fourth image - which is exactly why this reads as a probable rather than a certain lens, and why deeper or multi-band data (or a human reviewer weighing the tidal environment) would settle it."
4,J30791374-4058431,A,3,75.0,1.12,known,0.4692187499999999,0.4692187499999999,A,B,0.7,galaxy,companion_projection,True,True,A,A,,R2,True,"Both critics who named an alternative attacked only item 4, and the pixels back them: the western object visible in (b), (d) and (e) is round and PSF-like with no tangential stretch, so it is a companion projection and drops out. Nothing was offered against items 1-3, and the artifact critic explicitly cleared the field (no spikes on the core, no striping, no snowball, and every item traceable in un-subtracted panels a/b/d/e, so subtraction_residual is inadmissible). What survives is the southern feature: in (a) and (b) a thin curved ridge sitting ~1.3-1.45"" south of the ticked nucleus, sweeping ~80 deg of azimuth at essentially constant radius with its centre of curvature within ~0.25-0.3"" of the core, concave toward it, and thickness only ~1/5 of its radius - too thin and too radius-constant for a spiral arm (no radial growth with angle, no stellar bridge from the nucleus) and not a closed host ring or shell (no north-side counterpart at r~1.35"" in the deep panels). The embedded brighter knot at its west/SW end (item 2) and the compact blue-white blob at r~0.85"" due south (item 3), bluer than the yellow-white envelope in (c)/(e), reinforce a lensed-source reading, and the same crescent reappears as an offset, non-mirrored feature in (f) rather than as the butterfly/ring pattern the circular model would produce. Against a grade A stands the absence of any separable counter-arc north of the core inside the saturated halo, and the possibility that the bright southern blob is itself a companion whose own mass shapes the arc; that ambiguity is real and would be settled by a reviewer with deeper or higher-resolution multi-band data, hence B and needs_human."
12,J2451534-2191925,C,1,68.0,2.24,new,0.36000000000000004,0.48,A,B,0.6,galaxy,other,True,False,A,A,,R2,False,"The evidence is the thin orange filament that sweeps over the north side of the ticked elliptical in (a), (b) and (c): it is ~0.3-0.4"" thick against a 2.0-3.5"" standoff (width/radius ~0.12), concave toward the galaxy through ~150 deg of azimuth, separated from the host's outermost isophotes by a dark gap at r~1.2-1.6"" in (d) with no stellar bridge, and distinctly orange in (c)/(e) where the host core is white-yellow and the SE companion is bluish. The artifact critic correctly shows the only instrumental signature is the near-vertical 1/f striping that cuts straight across the curved band without following it, and the morphology critic correctly finds a clean, featureless ellipsoid in (d) with no arms, bar, knots, double nucleus or host-profiled shell that could produce it; the bright band along the top of (f) is traceable in the un-subtracted (d)/(e), so it is not one of the circular-model bowtie lobes (those are the two large symmetric N/S wedges plus the central dipole speckle). What holds the grade below A is the geometry critic's real measurement: the filament's radius from the deflector varies by ~60-70% along its length and its curvature radius (~4-5"") exceeds its standoff, so it is not a clean fixed-radius Einstein arc, and the only counter-image candidate (item 3, the SSW diffuse fan at r~1.3"", PA 190-240) sits at half the arc radius, is halo-like rather than filamentary, and overlaps the southern model lobe - it cannot be used as confirmation. A tidal streamer/plume associated with the compact SE neighbour ~3.5"" away therefore remains open, but it is not favoured by the arc's thinness, its colour offset from the host, or the absent bridge. Deeper multi-band imaging or a reviewer's eye on the arc's surface-brightness profile and on the SSW patch would settle whether this is a wide-separation group-assisted arc or a stream."
13,J18805344+1121596,C,1,50.0,0.72,new,0.20617187499999998,0.29453124999999997,A,C,0.58,galaxy,spiral_arm,True,False,A,A,,R2,False,"What survives is a single feature: the thin, bright, continuously curved band on the eastern flank of the ticked galaxy at r~1"", running roughly PA 15 through 90 to 160, clearly visible in the un-subtracted deep zoom (d) and as an orange/tan band in colour zoom (e), and reappearing in (f) as a one-sided offset ridge at near-constant radius rather than as one of the butterfly lobes or concentric rings the circular-profile subtraction would produce - the artefact critic's checks (no 6-spike pattern, no seam or stripe, band present in every direct panel) leave it untouched. Against it: the putative counter-image at PA~280 is plainly a separate small galaxy with its own compact nucleus, elongated radially toward the deflector at 1.6x the arc radius, so the system has no confirmed counter-image; and the southern clump chain at r~2.2-2.7"" plus the SSE flare are naturally read as a star-forming outer arm embedded in the same brown, dusty envelope that fills the 10"" colour panel, with a matching faint filament on the NW side. The arc's width (~0.2"" at the eastern segment, well under its radius) and its centre of curvature within ~0.3-0.4"" of the nucleus keep a lens interpretation alive, but an inner dust-lane-bounded spiral arm of a mildly inclined disc reproduces the same pixels, and with the counter-image removed nothing breaks the tie. C, and a reviewer or resolved colour/spectroscopy of the eastern band would settle it."
22,J5414235-4704895,C,1,30.0,1.7,new,0.272,0.272,B,C,0.5,galaxy,subtraction_residual,True,False,B,B,,R2,False,"Two of the scorer's three items fall: the eastern knots (item 2) are independently shown by both the geometry and morphology critics to be a chain of discrete compact blobs stepping outward from r~1.6"" to ~3.5"" along PA 60-105 in the deep 10"" panel, round rather than tangentially stretched, with no counterpart on the west side of any direct panel - a projected clumpy neighbour, not a tangential image; and the west patch (item 3) exists only in panel (f) at the margin of the core's vertical ringing, with the corresponding pixels in (d) and (e) perfectly smooth, so it is a property of the 1-D circular fit (helped by the unmodelled wing gradient of the bright galaxy ~4"" west) and is inadmissible as evidence. What survives is item 1: the thin low-surface-brightness wisp sweeping from ESE round to south at r~1.5"", concave toward the ticked galaxy, which is visible in the un-subtracted panels (a) and (b) and reappears in (f) as an offset curved ridge along the southern edge at roughly constant radius rather than as a core-symmetric ring. One curved, direct-panel-confirmed feature with a plausible centre of curvature (~0.4"" offset) but no confirmed counter-image and no colour contrast strong enough to help in a two-band render leaves the case genuinely open; the same arc could be a tidal shell or an outer stellar-envelope feature of this smooth spheroid. That is a textbook C, and a reviewer with a deeper or elliptical-model subtraction that follows the southern ridge through 100-175 deg and searches the north-west for its counterpart would settle it."
6,J18937456+6221686,B,2,62.0,2.1,known,0.31556249999999997,0.31556249999999997,A,C,0.45,galaxy,companion_projection,True,False,A,A,,R2,False,"Both critics converge on the same target and both are upheld: the bright, round, unresolved-core blob 0.9"" WSW of the tick centre in panels (d), (e) and (f) shows no tangential elongation and no counterpart at PA~74, so item 4 is a companion/satellite projection and is removed. What survives are items 1-3, the filamentary structures seen plainly in the un-subtracted 10"" panels (a) and (b): a knotty streak arching over the top of the halo from the NE quadrant to the NW at r~1.9-2.3"", concave toward the core, plus fainter segments to the E (~2.6"") and W/SW (~2.8""). The artifact critic correctly finds no spike, seam or striping explanation - these are curved, at roughly fixed radius, and absent from any straight-edge pattern - and the morphology critic finds no stellar bridge from the nucleus and no smooth radius-vs-angle growth inside 1.75"", where the host is featureless. But the evidence stops short of confirming a lens: the segment radii spread by a factor ~1.5, the northern feature is knotty rather than a smooth thin band and in (b) it merges with further wisps that trail outward toward the NE corner of the 10"" field, which is exactly what a shell/tidal or outer-arm system around a big halo produces; the two-band colour in (c) shows the northern streak neutral-to-tan, not distinctly offset from the host, and the inner 1.7"" is saturated in the direct zoom so no inner counter-image can be tested. Panel (f)'s central radiating streaks and lobes are the expected circular-profile residual and carry no weight. This sits genuinely between a broken Einstein ring and a shell/arm system: deeper multi-band imaging or a proper elliptical-model subtraction would settle whether the northern knots share a colour and surface-brightness profile with the E and W segments, so a human reviewer is warranted."
