candidate_id,ref_path,ours_path,bytes_identical,max_abs_diff,frac_pixels_differ,ref_bytes,ours_bytes,note
J11454711+6555180,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J11454711+6555180.jpg,golden/stamps/J11454711+6555180/J11454711+6555180_v1.jpg,False,,,0,0,no reference
J19789495-132348,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J19789495-132348.jpg,golden/stamps/J19789495-132348/J19789495-132348_v1.jpg,True,0.0,0.0,89590,89590,
J804181+1819597,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J804181+1819597.jpg,golden/stamps/J804181+1819597/J804181+1819597_v1.jpg,True,0.0,0.0,125102,125102,
J15026528+186865,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15026528+186865.jpg,golden/stamps/J15026528+186865/J15026528+186865_v1.jpg,False,,,0,0,no reference
J30791374-4058431,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J30791374-4058431.jpg,golden/stamps/J30791374-4058431/J30791374-4058431_v1.jpg,True,0.0,0.0,101109,101109,
J17710747+5286937,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J17710747+5286937.jpg,golden/stamps/J17710747+5286937/J17710747+5286937_v1.jpg,False,,,0,0,no reference
J20945435-1082161,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J20945435-1082161.jpg,golden/stamps/J20945435-1082161/J20945435-1082161_v1.jpg,True,0.0,0.0,110509,110509,
J803366+1819844,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J803366+1819844.jpg,golden/stamps/J803366+1819844/J803366+1819844_v1.jpg,False,,,0,0,no reference
J9006236-2015944,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J9006236-2015944.jpg,golden/stamps/J9006236-2015944/J9006236-2015944_v1.jpg,True,0.0,0.0,126183,126183,
J928927+915106,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J928927+915106.jpg,golden/stamps/J928927+915106/J928927+915106_v1.jpg,False,,,0,0,no reference
J32235757-764217,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J32235757-764217.jpg,golden/stamps/J32235757-764217/J32235757-764217_v1.jpg,False,,,0,0,no reference
J21000126+1448989,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J21000126+1448989.jpg,golden/stamps/J21000126+1448989/J21000126+1448989_v1.jpg,False,,,0,0,no reference
J14973771+199708,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J14973771+199708.jpg,golden/stamps/J14973771+199708/J14973771+199708_v1.jpg,False,,,0,0,no reference
J2295773-1360329,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J2295773-1360329.jpg,golden/stamps/J2295773-1360329/J2295773-1360329_v1.jpg,False,,,0,0,no reference
J15009505+230050,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J15009505+230050.jpg,golden/stamps/J15009505+230050/J15009505+230050_v1.jpg,False,,,0,0,no reference
J34218891-4454040,/Users/benson/sync/research/jwst-strong-lens-search/top100_clean/J34218891-4454040.jpg,golden/stamps/J34218891-4454040/J34218891-4454040_v1.jpg,False,,,0,0,no reference
