unit_id,candidate_id,split,kit_ids,n_passes,grade_letter,render_version,render_sha,leak,exposed_runs,in_fewshot,in_sft
u0001,J11454711+6555180,,,,,jwst_v1,,no,truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0002,J19789495-132348,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|scrambled100_blind,,
u0003,J804181+1819597,,,,,jwst_v1,,no,scrambled100_blind,,
u0004,J15026528+186865,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2,,
u0005,J30791374-4058431,,,,,jwst_v1,,desi_train,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1|truth_a1_sonnet_design_k2_r1|truth_a1_sonnet_design_k2_r2|scrambled100_blind,,
u0006,J17710747+5286937,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0007,J20945435-1082161,,,,,jwst_v1,,no,scrambled100_blind,,
u0008,J803366+1819844,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0009,J9006236-2015944,,,,,jwst_v1,,no,scrambled100_blind,,
u0010,J928927+915106,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0011,J32235757-764217,,,,,jwst_v1,,no,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
u0012,J21000126+1448989,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0013,J14973771+199708,,,,,jwst_v1,,no,truth_a0_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k1_r1|truth_a3_sonnet_holdout_k1_r1|truth_a1_sonnet_holdout_k1_r1|truth_a2_sonnet_holdout_k3_r1|truth_a2_sonnet_holdout_k3_r2|truth_a2_sonnet_holdout_k3_r3|truth_a1_opus_holdout_k1_r1|truth_a2_opus5_holdout_k1_r1|truth_a2_sonnet5_holdout_k1_r1|truth_a1_opus5_holdout_k1_r1,,
u0014,J2295773-1360329,,,,,jwst_v1,,desi_train,truth_a0_sonnet_design_k1_r1|truth_a2_sonnet_design_k1_r1|truth_a1_sonnet_design_k1_r1,,
